ManualSearchID,ManualSearchUnitID,SourceOrdinal,InventorySourceID,SourceRecordLocator,TitleRaw,AuthorsRaw,DOIRaw,VenueRaw,YearRaw,VolumeTrackIssueRaw,PublisherRecordURLRaw,RetrievedAt,ExtractionMethod,Notes
MS-RE-2025-MAIN-0012,MSU-RE-2025-MAIN,12,SRC-RE-2025-MAIN-IEEE-TOC-HUMAN-20260814,https://www.computer.org/csdl/proceedings-article/re/2025/241300a006/2aFK1FjcA6c,What About Emotions? Guiding Fine-Grained Emotion Extraction from Mobile App Reviews,,,2025 IEEE 33rd International Requirements Engineering Conference (RE),2025,,https://www.computer.org/csdl/proceedings-article/re/2025/241300a006/2aFK1FjcA6c,2026-08-14T18:09:41.644511Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-RE-2025-MAIN-0013,MSU-RE-2025-MAIN,13,SRC-RE-2025-MAIN-IEEE-TOC-HUMAN-20260814,https://www.computer.org/csdl/proceedings-article/re/2025/241300a019/2aFK4qcRhss,LLMREI: Automating Requirements Elicitation Interviews with LLMs,,,2025 IEEE 33rd International Requirements Engineering Conference (RE),2025,,https://www.computer.org/csdl/proceedings-article/re/2025/241300a019/2aFK4qcRhss,2026-08-14T18:09:41.644511Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-RE-2025-MAIN-0014,MSU-RE-2025-MAIN,14,SRC-RE-2025-MAIN-IEEE-TOC-HUMAN-20260814,https://www.computer.org/csdl/proceedings-article/re/2025/241300a031/2aFK0iv74D6,Identifying Explanation Needs: Towards a Catalog of User-based Indicators,,,2025 IEEE 33rd International Requirements Engineering Conference (RE),2025,,https://www.computer.org/csdl/proceedings-article/re/2025/241300a031/2aFK0iv74D6,2026-08-14T18:09:41.644511Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-RE-2025-MAIN-0015,MSU-RE-2025-MAIN,15,SRC-RE-2025-MAIN-IEEE-TOC-HUMAN-20260814,https://www.computer.org/csdl/proceedings-article/re/2025/241300a043/2aFJYpEl3Ms,Specifying Operational Design Domain in Autonomous Driving for Comprehensive Data Evaluation,,,2025 IEEE 33rd International Requirements Engineering Conference (RE),2025,,https://www.computer.org/csdl/proceedings-article/re/2025/241300a043/2aFJYpEl3Ms,2026-08-14T18:09:41.644511Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-RE-2025-MAIN-0016,MSU-RE-2025-MAIN,16,SRC-RE-2025-MAIN-IEEE-TOC-HUMAN-20260814,https://www.computer.org/csdl/proceedings-article/re/2025/241300a056/2aFK2Cby4PS,Design Thinking in Requirements Engineering: Understanding the Role of Internal and External Empathy,,,2025 IEEE 33rd International Requirements Engineering Conference (RE),2025,,https://www.computer.org/csdl/proceedings-article/re/2025/241300a056/2aFK2Cby4PS,2026-08-14T18:09:41.644511Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-RE-2025-MAIN-0017,MSU-RE-2025-MAIN,17,SRC-RE-2025-MAIN-IEEE-TOC-HUMAN-20260814,https://www.computer.org/csdl/proceedings-article/re/2025/241300a068/2aFK15H6Xgk,The Impact of Requirements Artifacts on Efficiency in Agile Development: A Case Study,,,2025 IEEE 33rd International Requirements Engineering Conference (RE),2025,,https://www.computer.org/csdl/proceedings-article/re/2025/241300a068/2aFK15H6Xgk,2026-08-14T18:09:41.644511Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-RE-2025-MAIN-0018,MSU-RE-2025-MAIN,18,SRC-RE-2025-MAIN-IEEE-TOC-HUMAN-20260814,https://www.computer.org/csdl/proceedings-article/re/2025/241300a080/2aFJZleDFPW,QUESTRL: A Q&A Framework for Designing Trustworthy Reinforcement Learning Systems,,,2025 IEEE 33rd International Requirements Engineering Conference (RE),2025,,https://www.computer.org/csdl/proceedings-article/re/2025/241300a080/2aFJZleDFPW,2026-08-14T18:09:41.644511Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-RE-2025-MAIN-0019,MSU-RE-2025-MAIN,19,SRC-RE-2025-MAIN-IEEE-TOC-HUMAN-20260814,https://www.computer.org/csdl/proceedings-article/re/2025/241300a092/2aFJYvOGJZm,Generative Goal Modeling,,,2025 IEEE 33rd International Requirements Engineering Conference (RE),2025,,https://www.computer.org/csdl/proceedings-article/re/2025/241300a092/2aFJYvOGJZm,2026-08-14T18:09:41.644511Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-RE-2025-MAIN-0020,MSU-RE-2025-MAIN,20,SRC-RE-2025-MAIN-IEEE-TOC-HUMAN-20260814,https://www.computer.org/csdl/proceedings-article/re/2025/241300a104/2aFJYBESTXG,Demystifying Feature Requests: Leveraging LLMs to Refine Feature Requests in Open-Source Software,,,2025 IEEE 33rd International Requirements Engineering Conference (RE),2025,,https://www.computer.org/csdl/proceedings-article/re/2025/241300a104/2aFJYBESTXG,2026-08-14T18:09:41.644511Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-RE-2025-MAIN-0021,MSU-RE-2025-MAIN,21,SRC-RE-2025-MAIN-IEEE-TOC-HUMAN-20260814,https://www.computer.org/csdl/proceedings-article/re/2025/241300a117/2aFK2wrB5IY,Requirements Elicitation Follow-Up Question Generation,,,2025 IEEE 33rd International Requirements Engineering Conference (RE),2025,,https://www.computer.org/csdl/proceedings-article/re/2025/241300a117/2aFK2wrB5IY,2026-08-14T18:09:41.644511Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
