"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Abstractive Biomedical Long Document Summarization Through Zero-Shot Prompting","A. Azzedine; L. Salima; S. Christoph; O. El Alaoui Said","Engineering Sciences Laboratory, National School of Applied Sciences, Ibn Tofail University, Kenitra, Morocco; Department of Computer Science, FSTM, University of Luxembourg, Esch-sur-Alzette, Luxembourg; Department of Computer Science, FSTM, University of Luxembourg, Esch-sur-Alzette, Luxembourg; Engineering Sciences Laboratory, National School of Applied Sciences, Ibn Tofail University, Kenitra, Morocco",2024 Sixth International Conference on Intelligent Computing in Data Sciences (ICDS),"25 Nov 2024","2024","","","1","6","Abstractive summarization involves generating a coherent and concise summary that captures the main topics of the original document. In this work, we address the task of abstractive long single-document summarization in the biomedical domain, which faces two main challenges. Firstly, biomedical documents are often very long and contain a significant amount of information. Secondly, there is a lack of annotated datasets for biomedical text summarization tasks. In response to these challenges, we introduce a novel unsupervised method that follows an extractive-abstractive summarization framework. In the first stage, extractive summarization is modeled as a graph where nodes represent sentences and edges represent the semantic similarity between sentences. This graph is optimized to select salient sentences that highlight the main topics of the document. In the second stage, we leverage the potential of GPT-3 through zero-shot prompting to generate an abstract from the extracted content. Experimental results on the PubMed dataset, evaluated using the ROUGE metric, demonstrate the effectiveness of our approach, achieving competitive performance compared to recent supervised deep learning-based state-of-the-art methods.","","979-8-3503-5120-0","10.1109/ICDS62089.2024.10756301","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10756301","Extractive Summarization;Abstractive Summarization;GPT-3;Biomedical Summarization;Zero-Shot Prompting","Measurement;Feedback loop;Biological system modeling;Computational modeling;Semantics;Text summarization;Iterative methods;Data mining;Faces;Context modeling","","1","","28","IEEE","25 Nov 2024","23-24 Oct. 2024","23-24 Oct. 2024","IEEE","IEEE Conferences"
"Designing a Conversational Agent for Competence Development","J. P. S. Simão; L. S. R. Machado; J. B. Da Silva; P. A. Behar","Graduate Program in Informatics & Education, Federal University of Rio Grande do Sul, Porto Alegre, Brazil; Faculty of Education, Federal University of Rio Grande do Sul, Porto Alegre, Brazil; Special Interdisciplinary Coordination of ICT, Federal University of Santa Catarina, Araranguá, Brazil; Faculty of Education, Federal University of Rio Grande do Sul, Porto Alegre, Brazil",2025 IEEE Smart World Congress (SWC),"20 Feb 2026","2025","","","238","243","This paper presents the design and proof-of-concept of a conversational agent integrated into a competence management system to assist students in competence development. The agent leverages Generative Artificial Intelligence (GenAI) to provide tailored feedback and recommend learning strategies based on students’ proficiency levels. The proposed system includes a structured competence management system, a recommendation engine, and an interactive chatbot that engages users in guided learning experiences. The architecture of the system is built using Django, PostgreSQL, and OpenAI’s API, ensuring a scalable and adaptable solution for different learning contexts. The agent is designed to be integrated with Learning Management Systems (LMS) via LTI and employs the xAPI standard to track user interactions. Through a structured interaction model, students receive custom responses that foster self-regulated learning. While the application demonstrates potential for competence development, its effectiveness must be validated through real-user testing. Future research will focus on usability evaluations and refining AI-driven recommendations to enhance educational outcomes.","2993-396X","979-8-3315-7598-4","10.1109/SWC65939.2025.00058","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11395051","conversational agents;competences;artificial intelligence;recommendation systems","Measurement;Linear systems;Adaptation models;Generative AI;Refining;Learning (artificial intelligence);Usability;Standards;Recommender systems;Testing","","","","14","IEEE","20 Feb 2026","18-22 Aug. 2025","18-22 Aug. 2025","IEEE","IEEE Conferences"
"Enhancing Clinical Note Generation from Doctor-Patient Conversations through Semantic Partition-Oriented Summarization","B. -N. Nguyen; H. -Q. Le; D. -C. Can","Faculty of Information Technology, VNU University of Engineering and Technology, Hanoi, Vietnam; Faculty of Information Technology, VNU University of Engineering and Technology, Hanoi, Vietnam; Faculty of Information Technology, VNU University of Engineering and Technology, Hanoi, Vietnam",2023 15th International Conference on Knowledge and Systems Engineering (KSE),"6 Nov 2023","2023","","","1","6","Clinical note generation from doctor-patient con-versations is an essential task that helps to maintain the medical records of patients. The process of writing clinical notes is a time-consuming task for doctors, and redundant or inaccurate information in clinical notes may have adverse consequences. In this paper, we propose a novel approach to clinical note generation. Our contribution lies in proposing a semantic partitioning and clustering method for the extractive module of this task. We show that our semantic-based partition method provided a way to extract relevant information for specific sections. This enables large language models to produce high-quality clinical notes and give accurate information for each section. Our approach outperformed other systems in ROUGE-1 score on the MEDIQA-Sum 2023 Shared Task dataset.","2694-4804","979-8-3503-2974-2","10.1109/KSE59128.2023.10299512","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10299512","Clinical Note Generation;Doctor-Patient Con-versation;Summarization;Clustering;Semantic-based Partition","Knowledge engineering;Clustering methods;Semantics;Medical services;Oral communication;Writing;Data mining","","7","","15","IEEE","6 Nov 2023","18-20 Oct. 2023","18-20 Oct. 2023","IEEE","IEEE Conferences"
"GenAI-Driven Occupational Safety Analysis in IoT-Enabled Environments","N. Petrović; D. Krstić; D. Javor; M. Weissenberg; M. Głąbowski; S. Suljovic","Faculty of Electronic Engineering, University of Niš, Niš, Serbia; Faculty of Electronic Engineering, University of Niš, Niš, Serbia; Faculty of Occupational Safety, University of Niš, Niš, Serbia; Poznań University of Technology, Poznan, Poland; Poznań University of Technology, Poznan, Poland; University MB, Belgrade, Serbia","2026 61st International Scientific Conference on Information, Communication and Energy Systems and Technologies (ICEST)","5 Aug 2026","2026","","","81","85","This paper presents a Generative Artificial Intelligence (GenAI)-driven workflow for analyzing occupational safety in IoT-enabled industrial environments by integrating Large Language Models (LLMs), Vision-Language Models (VLMs), and Model-Driven Engineering (MDE) to deliver comprehensive, multimodal insights. The approach addresses the challenges posed by heterogeneous and unstructured data by using LLMs to interpret textual sources and VLMs to extract information from visual artifacts such as process flows and operational diagrams. For analytical reasoning, the workflow incorporates MDE techniques and rule-based modeling to support the formal validation of workflows and the identification of potential safety risks. The framework focuses on process extraction and analysis, generating structured representations using PlantUML activity diagrams to capture workflows, dependencies, and interactions across system components and stakeholders. The approach is demonstrated using a representative IoT-enabled industrial scenario, showing its effectiveness in improving transparency, identifying hazards, and supporting informed decision-making.","2603-3267","979-8-3195-4340-0","10.1109/ICEST71230.2026.11623530","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11623530","IoT;multimodal;LLM;VLM;occupational safety","Modeling;Safety;Internet of Things;Hazards;Large language models;Visualization;Occupational safety;Printing;Retrieval augmented generation;Security","","","","14","IEEE","5 Aug 2026","1-3 July 2026","1-3 July 2026","IEEE","IEEE Conferences"
"Knowledge Graph-Based Genetic Fuzzy Agent for Human Intelligence and Machine Co-Learning","C. -S. Lee; M. -H. Wang; C. -Y. Chen; M. Reformat; Y. Nojima; N. Kubota","National University of Tainan, Tainan, Taiwan; National University of Tainan, Tainan, Taiwan; National University of Tainan, Tainan, Taiwan; University of Alberta, Edmonton, Canada; Osaka Metropolitan University, Osaka, Japan; Tokyo Metropolitan University, Tokyo, Japan",2023 IEEE International Conference on Fuzzy Systems (FUZZ),"9 Nov 2023","2023","","","1","6","This paper proposes a novel approach for evaluating the co-learning performance of human intelligence (HI) and machine intelligence (MI) using a Knowledge Graph-based genetic fuzzy agent. The agent utilizes a Knowledge Graph structure to represent a specific knowledge domain related to human learning and employs a genetic fuzzy learning mechanism to construct a personalized learning model. Human learners can engage in co-learning with machines using state-of-the-art AI tools such as the Meta AI S2ST Taiwanese-English language model and the OpenAI ChatGPT text model. The proposed approach was evaluated using human learning data from an undergraduate computer science course and a series of Taiwanese and English language translation experience activities. The experimental results indicate that the proposed approach can effectively enhance the co-learning process for both human and machine learners.","1558-4739","979-8-3503-3228-5","10.1109/FUZZ52849.2023.10309699","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10309699","Knowledge Graph;Genetic Algorithm;Fuzzy Agent;MetaAI S2ST;Human Intelligence;OpenAI ChatGPT","Computer science;Learning systems;Human intelligence;Computational modeling;Speech recognition;Genetics;Chatbots","","3","","13","IEEE","9 Nov 2023","13-17 Aug. 2023","13-17 Aug. 2023","IEEE","IEEE Conferences"
"Towards Implementing and Evaluating AI-Assisted Pull Requests in Software Engineering Education","E. Parra; S. Willingham","Dept. of Math, Computer Science, and Data Science, Belmont University, Nashville, TN, USA; Dept. of Math, Computer Science, and Data Science, Belmont University, Nashville, TN, USA",2025 IEEE/ACM 37th International Conference on Software Engineering Education and Training (CSEE&T),"12 Jun 2025","2025","","","13","18","Pull requests allow developers to suggest and review codebase changes collaboratively. This process is standard for maintaining code quality and following best practices. The recent emergence of Large Language Models like ChatGPT and GitHub Copilot has shown great potential in improving coding efficiency and accuracy in software engineering. This paper outlines a study design to explore the integration of an AI tool to streamline PR reviews in a software engineering course. By incorporating the pr-agent into the curriculum, the study aims to evaluate its impact on students' coding skills, understanding of PR processes, and overall learning experience. The evaluation strategy includes collecting quantitative and qualitative feedback from students to assess the effectiveness of the tool. The results will offer insight into the feasibility and benefits of integrating AI tools in software engineering education.","2832-7578","979-8-3315-3709-8","10.1109/CSEET66350.2025.00008","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11024341","Software Engineering Education;Group Work;AI-based tools;Pull Requests","Codes;Reviews;Large language models;Education;Chatbots;Encoding;Standards;Best practices;Software engineering;Software development management","","","","53","CCBY","12 Jun 2025","27 April-3 May 2025","27 April-3 May 2025","IEEE","IEEE Conferences"
"Knowledge Graphs","W. R. Wei; H. Wu","Coupang Inc., USA; Samsung Research America, USA",Advanced Retrieval-Augmented Generation: Bridging Large Language Models and Knowledge Graphs,"","2026","","","247","306","<p>This chapter explores the fundamental principles, construction methods, and advanced techniques of knowledge graphs (KGs), which have emerged as powerful tools in the digital age for representing information in a structured, interconnected manner. The chapter begins by examining the basic building blocks of a KG, using the Marvel Universe KG as a hands‐on example. It then delves into practical aspects of graph construction, including schema design, data extraction techniques, and real‐world implementation workflows. The chapter further explores how to enrich the semantics and utility of KGs using graph algorithms, graph embeddings, and graph neural networks (GNNs). Finally, it examines the synergy between KGs and large language models (LLMs), enabling automated knowledge extraction, ontology learning, and hybrid systems. Practical exercises and case studies, such as the Wayfair Annotation Dataset (WANDS) product data in Neo4j, reinforce the concepts and illustrate how KGs can be operationalized in real‐world settings. The chapter concludes by demonstrating how KGs serve as a bridge between human‐readable knowledge and machine‐processable intelligence, particularly in the era of generative AI.</p>","","9781394374700","10.1002/9781394374717.ch06","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=11622014.pdf&bkn=11622001&pdfType=chapter","","Ontologies;Labeling;Modeling;Joining processes","","","","","","23 Jul 2026","","","IEEE","Wiley-IEEE Press eBook Chapters"
"Redefining Human-Machine Collaboration: Industry 5.0 to Improve Safety and Efficiency","F. A. Lloret Abrisqueta; A. Guerrero González; R. Zapata Martinez","Polytechnic University of Cartagena, ES; Polytechnic University of Cartagena, ES; Polytechnic University of Cartagena, ES",IEEE Latin America Transactions,"8 Jul 2025","2025","23","8","729","735","This study presents an innovative implementation of Industry 5.0 principles in a window production line, integrating advanced robotics and artificial intelligence technologies to improve operational efficiency and worker well-being. A robotic cell was designed to automate the handling of heavy components in the final production stage, resulting in a 35% reduction in cycle times and a significant decrease in ergonomic risks. Additionally, an interactive voice assistant based on generative AI was implemented, allowing operators to access system data and technical information in real-time through cognitive interaction. The results show a substantial improvement in job satisfaction, with a 278% increase in the perception of occupational health. This approach not only optimizes productivity but also redefines workers' roles, aligning with the human-centered vision of Industry 5.0. The study demonstrates how the integration of advanced technologies can create safer, more efficient, and adaptable work environments in modern manufacturing.","1548-0992","","10.1109/TLA.2025.11072501","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11072501","generative AI;advanced robotics;industry 5.0;occupational health","Production;Robots;Fifth Industrial Revolution;Real-time systems;Service robots;Personal voice assistants;Manufacturing;Collaboration;Accuracy;Unified modeling language","","6","","","IEEE","8 Jul 2025","Aug. 2025","","IEEE","IEEE Journals"
"Activity Diagrams as Cognitive Bridges: Revolutionizing Programming Education with AI","K. -Y. Lin; P. -H. Cheng; L. -W. Chen","Software Engineering and Management, National Kaohsiung Normal University, Kaohsiung, Taiwan; Software Engineering and Management, National Kaohsiung Normal University, Kaohsiung, Taiwan; Software Engineering and Management, National Kaohsiung Normal University, Kaohsiung, Taiwan",2025 IEEE Integrated STEM Education Conference (ISEC),"8 Sep 2025","2025","","","1","5","In the contemporary digital era, computational thinking (CT) has emerged as a pivotal skill across various disciplines, indispensable for navigating through the intricacies of the information age. Given the incorporation of programming education into K-12 curricula, there is a pressing need for innovative tools to foster CT effectively. This research presents myChatCT, an AI-driven educational assistant, designed to augment high school students' CT and coding competencies by emphasizing problem-solving rather than syntax memorization. Utilizing the ChatGPT API, myChatCT navigates users through the stages of CT—decomposition, pattern recognition, abstraction, and algorithm design—while converting natural language inputs into structured activity diagrams. These diagrams serve as a conduit between conceptual understanding and code execution, providing visual insights into problem-solving strategies and generating annotated code to bolster learning. To assess its efficacy, load tests were conducted to simulate diverse user scenarios, analyzing response times, error rates, and resource utilization. Preliminary findings suggest promising results for enhancing CT and coding proficiency, with areas for improvement identified in system efficiency. Ultimately, myChatCT strives to empower both learners and educators by offering a systematic methodology for cultivating crucial CT skills and revolutionizing programming education.","2473-7623","979-8-3315-1343-6","10.1109/ISEC64801.2025.11147330","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11147330","AI Learning Assistant;Computational Thinking;Coding Proficiency;Educational Technology;Visualization;Problem-Solving;Activity Diagrams;User Experience","Visualization;Codes;Navigation;User interfaces;Chatbots;Encoding;User experience;Problem-solving;Time factors;Programming profession","","","","6","IEEE","8 Sep 2025","15-15 March 2025","15-15 March 2025","IEEE","IEEE Conferences"
"FlingFlow: LLM-Driven Dynamic Strategies for Efficient Cloth Flattening","T. Fu; C. Li; J. Liu; F. Li; C. Wang; R. Song","School of Control Science and Engineering, Shandong University, Jinan, China; School of Control Science and Engineering, Shandong University, Jinan, China; School of Control Science and Engineering, Shandong University, Jinan, China; School of Information and Engineering, Shandong Jianzhu University, Jinan, China; School of Control Science and Engineering, Shandong University, Jinan, China; School of Control Science and Engineering, Shandong University, Jinan, China",IEEE Robotics and Automation Letters,"4 Sep 2024","2024","9","10","8714","8721","The proficiency of robots in cloth manipulation is crucial for their potential widespread deployment in household service contexts, with the task of unfolding cloth being particularly indispensable. Unlike rigid objects, cloth has a high-dimensional state space, which poses significant challenges for robotic operations. This paper presents a robotic framework that integrates dynamic and static operations for cloth unfolding. Dynamic operations are introduced in a single-arm scenario, employing gravity to expedite flattening. Initially, we define the classification of cloth states and operational skills. Subsequently, in skill selection, a Large Language Model (LLM) is utilized to make decisions based on the current state, selecting skills appropriate for the given situation. For the determination of operation points, a cloth region segmentation network extracts key features of the cloth, and the final operation points are determined through geometric analysis of the masks. Experiments on a real robot demonstrate that our method can successfully unfold cloths of various initial conditions, colors, sizes, textures, shapes and materials, achieving over 95$\%$ coverage - defined as the ratio of the current area of the fabric to its fully expanded area - thereby proving the effectiveness of the combined dynamic and static operation strategy. Furthermore, this method significantlyenhances the efficiency of cloth unfolding, completing the task within ten actions, whereas other methods require dozens of operations, greatly reducing the required operational complexity.","2377-3766","","10.1109/LRA.2024.3440770","high speed and high precision industrial robot(grant numbers:2340STCZB1928); National Natural Science Foundation of China(grant numbers:62373225); Meituan Academy of Robotics Shenzhen; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10631282","AI-enabled robotics;manipulation planning;deep learning methods","Fabrics;Task analysis;Robot kinematics;Feature extraction;Service robots;Heuristic algorithms","","6","","26","IEEE","8 Aug 2024","Oct. 2024","","IEEE","IEEE Journals"
"From Information Overload to Lucidity: A Survey on Leveraging GPTs for Systematic Summarization of Medical and Biomedical Artifacts","B. Palanisamy; A. Chakrabarti; A. Singh; V. Hassija; G. S. S. Chalapathi; A. Singh","Department of Electrical and Electronics Engineering, BITS Pilani, Pilani Campus, Pilani, India; School of Computer Engineering, KIIT, Bhubaneswar, India; School of Computer Engineering, KIIT, Bhubaneswar, India; School of Computer Engineering, KIIT, Bhubaneswar, India; Department of Electrical and Electronics Engineering, BITS Pilani, Pilani Campus, Pilani, India; Department of Mechanical Engineering, BITS Pilani, Pilani Campus, Pilani, India",IEEE Access,"14 Jan 2025","2025","13","","7902","7922","In medical research, the rapid proliferation of condition-specific studies has led to an information overload, making it challenging for researchers and practitioners to stay abreast of the latest findings. This paper presents a comprehensive survey on leveraging Generative Pretrained Transformers (GPTs) to summarize medical and biomedical artifacts systematically. We delve into the current applications of GPTs in this domain, discussing their role in understanding and summarizing research papers, medical dialogues, and medical records. Through a comparative analysis of recent studies and methodologies, we highlight the effectiveness of GPTs in distilling complex medical information into concise, understandable summaries. Our survey underscores the potential of GPTs as a tool for navigating the information overload in medical research and bringing clarity to healthcare professionals. This transformation will enhance patient care and outcomes, such as improving the accessibility and comprehensibility of medical research, assisting in rapid information retrieval, and facilitating the summarization of complex medical studies for broader audiences.","2169-3536","","10.1109/ACCESS.2024.3521596","Birla Institute of Technology and Science under its Open Access (OA) publishing support scheme; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10812718","Biomedical;ChatGPT;Generative Pretrained Transformers;healthcare;medical;natural language processing;summarization","Medical diagnostic imaging;Transformers;Radiology;Medical services;Encoding;Generative adversarial networks;Chatbots;COVID-19;Bidirectional control;Optimization","","6","","137","CCBY","23 Dec 2024","2025","","IEEE","IEEE Journals"
"A Survey of Knowledge Graph–Based Semantic Representations for Medical Text Analysis","M. C. Amrani; M. Mataoui; K. B. Bey","Ecole Militaire Polytechnique, Algeria; Ecole Militaire Polytechnique, Algeria; Ecole Militaire Polytechnique, Algeria","2026 International Conference on Speech, Multimodal and Advanced Communication Systems (ICSMACS)","3 Aug 2026","2026","","","1","6","Unstructured medical text from clinical notes, guidelines, scientific literature, and clinical trial records contains rich knowledge essential for advancing biomedical research and clinical practice. However, its heterogeneity, scale, and semantic complexity hinder effective integration, interpretation, and reuse. Knowledge Graphs (KGs) provide a semantic representation that normalizes medical concepts, integrates heterogeneous sources, and supports reasoning for accurate retrieval, decision support, and knowledge discovery. This review surveys peer-reviewed studies published between 2020 and 2025 that apply KGs to medical textual data. The literature is organized along three dimensions: (i) KG construction and enhancement methods, including ontology-driven, data-driven, and hybrid approaches; (ii) application domains, spanning biomedical translation, drug repurposing, diagnosis, adverse drug reaction detection, personalized medicine, and general tasks such as recommendation, question answering, information retrieval, and summarization; and (iii) emerging synergies between KGs and Large Language Models (LLMs) for grounded reasoning, retrieval, and generation. We synthesize methodological trends, datasets, and evaluation practices; provide a consolidated comparison of representative works; and highlight persistent challenges related to uncertainty modeling, interoperability, scalability, and privacy. Finally, we discuss promising directions for developing faithful, interoperable, and clinically impactful KG-based systems for medical text.","","979-8-3315-7840-4","10.1109/ICSMACS68968.2026.11628567","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11628567","Semantic Data Representation;Knowledge Graphs;Medical Text Mining;Information Retrieval;Biomedical Informatics","Modeling;Printing;Knowledge graphs;Ontologies;Cognition;Cognitive systems;Construction;Drugs;Aluminum;Medical services","","","","50","IEEE","3 Aug 2026","29-30 June 2026","29-30 June 2026","IEEE","IEEE Conferences"
"Evaluating the Capabilities of MLLMs to Accurately Extract Information from Complex Technical Standards & Diagrams","P. Scalise; N. Bray; R. Ho; M. Hempel; H. Sharif","Electrical and Computer Engineering, University of Nebraska-Lincoln, Lincoln, NE, USA; Electrical and Computer Engineering, University of Nebraska-Lincoln, Lincoln, NE, USA; Millard South High School, Omaha, NE, USA; Electrical and Computer Engineering, University of Nebraska-Lincoln, Lincoln, NE, USA; Electrical and Computer Engineering, University of Nebraska-Lincoln, Lincoln, NE, USA",2026 International Wireless Communications and Mobile Computing (IWCMC),"3 Jul 2026","2026","","","1562","1567","Multimodal large language models have opened new possibilities for the automated extraction of information from complex technical documents, yet their reliability on technical documents such as dense standards-body specifications, and particularly on the diagrams embedded within them, remains inconsistent. This paper presents an evaluation of 10 models and their respective pipeline configurations, including frontier multimodal models and a class-leading open-source retrieval-augmented generation system (RAGFlow), assessed against 120 weighted questions curated by subject matter experts spanning six telecommunication standards documents of varying complexity. Gemini 3 Pro and GPT-5.2 achieved the highest overall weighted accuracies of 97.1% and 95.6%, respectively, while the best RAGFlow configuration reached 64.1%. Across all models and tiers, figure comprehension emerged as a persistent and universal weakness. Even the top-performing frontier models reached only 87% correctness on figure-based questions. Across the full model population, 42% of figure comprehension responses were scored as entirely incorrect, being the highest failure rate of any content category by a wide margin. In contrast, process and procedure questions achieved 97% full-credit rates across the same population. These results indicate that while general technical text and structured data are now handled reliably by modern MLLMs, accurate extraction of information from block diagrams, state machines, and annotated schematics remains an open and unsolved problem for current generative transformer-based models.","2376-6506","979-8-3315-5001-1","10.1109/IWCMC69287.2026.11579894","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11579894","multimodal;question answering;technical document understanding;telecommunication standards;figure comprehension","Modeling;Cognition;Cognitive systems;Generative Pre-trained transformer;Protocols;Visualization;Internet;Retrieval augmented generation;Search engines;Telecommunications","","","","19","IEEE","3 Jul 2026","1-6 June 2026","1-6 June 2026","IEEE","IEEE Conferences"
"Medical ASR Enhancement by Domain-Specific Reinforcement Fine-Tuning","C. Wang; X. Ye; J. Wu; D. Yi; Z. Lei; W. S. Poon; H. Liu","Department of Electronic Engineering, The University of Hong Kong; Neuromedical Centre, HKU-Shenzhen Hospital; CAIR, Hong Kong Institute of Science & Innovation, Chinese Academy of Sciences; CAIR, Hong Kong Institute of Science & Innovation, Chinese Academy of Sciences; CAIR, Hong Kong Institute of Science & Innovation, Chinese Academy of Sciences; Neuromedical Centre, HKU-Shenzhen Hospital; CAIR, Hong Kong Institute of Science & Innovation, Chinese Academy of Sciences","ICASSP 2026 - 2026 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","21 Apr 2026","2026","","","7051","7055","Medical automatic speech recognition (ASR) demands high precision, especially for drug names, dosages, and anatomy. State-of-the-art systems optimize all tokens equally, under-weighting rare, domain-critical terms. We propose a medical-aware reinforcement fine-tuning (RFT) framework that generates multiple hypotheses, extracts medical terms with LLMs, validates them via UMLS, and optimizes a composite reward combining WER, medical WER (MWER), and length regularization. On MultiMed, our approach reduces MWER by up to 17% over SFT and yields consistent gains across external datasets, improving medical accuracy while preserving fluency.","2379-190X","979-8-3315-6701-9","10.1109/ICASSP55912.2026.11464359","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11464359","Automatic speech recognition;Domain adaptation;Reinforcement fine-tuning;Medical-aware reward modeling","Feeds;Filtering;Feedback;Filters;Circuits;Circuits and systems;Protocols;HTTP;Feedback loop;Switches","","","","22","IEEE","21 Apr 2026","3-8 May 2026","3-8 May 2026","IEEE","IEEE Conferences"
"Fully Automated Scholarly Search for Biomedical Systematic Literature Reviews","L. Budau; F. Ensan","Department of Electrical, Computer, and Biomedical Engineering, Toronto Metropolitan University, Toronto, ON, Canada; Department of Electrical, Computer, and Biomedical Engineering, Toronto Metropolitan University, Toronto, ON, Canada",IEEE Access,"18 Jun 2024","2024","12","","83764","83773","Biomedical Systematic Literature Reviews (SLRs) play a fundamental role in evidence-informed healthcare and can serve as actionable insights for researchers and policy-making organizations in the field. In this paper, we focus on the phase of ‘study search’ in conducting SLRs, i.e., the process of organising a comprehensive search via biomedical databases, such PubMed, in order to obtain all the relevant articles on a certain topic of interest. We introduce FASS-BSLR, a dataset and a benchmark suit to facilitate developing and evaluating fully automated techniques for study search. We also provide and analyze a set of basic methods along with a number of generative models, and report the experiment’s results over the introduced dataset. We introduce a simple but effective model based on the resent transformer-based generative model, ChatGPT, for generating Boolean queries over PubMed. Through different experiments, we illustrate that this model is more effective than basic search models, than keyword search over PubMed, and than existing methods for crafting Boolean queries using ChatGPT. We show that the introduced model is even more effective than manual queries in terms of Precision, Recall, NDCG, and MAP in positions 10, and 100, but falls short of the recall that manual queries achieve at position 1000. We also report the retrieval performance of different models when a number of relevant articled have been provided as seed documents. We demonstrate that, when three documents are used as seed articles, the introduced model outperforms manual queries in all metrics except Recall@1000, on which its performance is comparable with the performance attained by manual queries.","2169-3536","","10.1109/ACCESS.2024.3405529","National Research Council Canada; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10539102","Systematic literature reviews;technology assisted reviews;boolean query formalization","COVID-19;Databases;Biological system modeling;Systematics;Reviews;Chatbots;Unified modeling language","","4","","49","CCBYNCND","27 May 2024","2024","","IEEE","IEEE Journals"
"FSMVision: Semantic Extraction of Finite State Machines from Diagrams via Multimodal AI","S. C. Bakchy; M. A. Islam; S. Rahman; M. T. Rahman","Department of ECE, Florida International University, Miami, Florida, USA; Department of ECECS, University of New Haven, West Haven, Connecticut, USA; Department of ECE, University of Central Florida, Orlando, Florida, USA; Department of ECE, Florida International University, Miami, Florida, USA",2026 27th International Symposium on Quality Electronic Design (ISQED),"28 May 2026","2026","","","1","8","Finite State Machines (FSMs) are a core abstraction for modeling digital systems, control logic, and reactive behaviors. Automating FSM state and transition identification is therefore critical for computer-aided design (CAD) tools. While multi-modal large language models (MLLMs) have shown promise in design automation, FSM diagrams are often not directly interpretable by these models, resulting in errors in control synthesis and HDL generation. This paper presents FSMVision, a multi-modal artificial intelligence (AI) framework that extracts complete FSM semantics directly from diagrams. By integrating visual parsing, spatial reasoning, and language grounding, FSMVision accurately identifies states, transitions, and conditions for design automation. Experiments demonstrate 99.00% state detection and 99.01% transition detection accuracy across diverse FSM diagrams of varying complexity. FSMVision surpasses existing MLLM-based baselines, achieving superior structural and semantic fidelity, and enables direct translation of FSM diagrams into executable implementations, advancing AI-driven design and control automation.","1948-3295","979-8-3315-8361-3","10.1109/ISQED69900.2026.11534790","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11534790","Finite State Machine;MLLMs;Key Point Analysis;Electronic Design Automation","Modeling;Labeling;Printing;Visualization;Conferences;Large language models;Computers;Machining;Shape;Design methodology","","","","62","IEEE","28 May 2026","8-10 April 2026","8-10 April 2026","IEEE","IEEE Conferences"
